,pixel,closest contour point,closest skeleton point,slope at nc,slope at ns,average slope,average angle
0,[166 211],[170 216],[143 189],-1.0,-1.0,-1.0,44.99999999999999
1,[263 719],[275 707],[239 723],2.5,2.4999999999999996,2.4999999999999996,-68.19859051364818
2,[205 903],[227 925],[200 898],-1.3461538461538463,-1.3461538461538463,-1.34615,53.39284682374126
3,[ 130 1336],[ 104 1362],[ 131 1335],1.3461538461538463,1.176470588235294,1.1827544444444442,-49.78601381452955
4,[193 698],[191 698],[226 685],1.7857142857142858,2.4999999999999996,1.8238377016538057,-61.264288027214775
5,[247 879],[253 884],[220 866],-1.3461538461538463,-1.785714285714286,-1.4370275878157999,55.16668186944557
6,[167 117],[160 111],[189 136],-1.1764705882352942,-1.3461538461538463,-1.2173275744290293,50.59786814057672
7,[ 37 327],[ 17 311],[ 52 331],-2.5,-2.5,-2.5,68.19859051364821
8,[  57 1269],[  42 1282],[  74 1261],1.7857142857142856,1.7857142857142856,1.7857100000000004,-60.75111504159832
9,[ 133 1294],[ 140 1287],[ 113 1314],1.176470588235294,1.1764705882352942,1.17647,-49.63544929005889
10,[238 654],[249 645],[219 668],1.3461538461538463,1.3461538461538463,1.34615,-53.39284682374126
11,[115 993],[ 88 967],[116 994],-1.0,-1.0,-1.0,44.99999999999999
12,[205 148],[218 161],[189 137],-1.3461538461538463,-1.3461538461538463,-1.34615,53.39284682374126
13,[ 200 2261],[ 197 2264],[ 231 2249],1.7857142857142858,2.4999999999999996,1.8665567929254736,-61.820006017240665
14,[ 175 1329],[ 176 1327],[ 149 1354],1.0,1.0,1.0,-44.99999999999999
15,[ 114 1006],[ 136 1029],[ 108 1004],-1.3461538461538463,-1.3461538461538463,-1.34615,53.39284682374126
16,[  36 2041],[  34 2043],[  67 2024],1.7857142857142856,1.3461538461538463,1.75315,-60.299484758814586
17,[  88 2002],[  96 1996],[  63 2013],1.7857142857142856,2.5,1.977141937699013,-63.17059957735794
18,[  70 1041],[  48 1020],[  76 1047],-1.7857142857142856,-1.3461538461538463,-1.4420337313381448,55.26004385650386
19,[  56 1303],[  55 1303],[  87 1282],1.1764705882352942,1.3461538461538463,1.1808837741071974,-49.741293284959056
20,[ 117 1048],[ 119 1051],[  90 1027],-1.3461538461538463,-1.3461538461538463,-1.34615,53.39284682374126
21,[236 713],,[236 713],,2.4999999999999996,2.4999999999999996,-68.19859051364818
22,[ 62 475],[ 38 499],[ 67 472],1.7857142857142856,1.7857142857142856,1.78571,-60.75111504159832
23,[ 39 287],[ 29 279],[ 64 294],-1.7857142857142858,-2.4999999999999996,-2.0216631628780743,63.68105627067996
24,[261 707],[272 697],[237 714],2.5,2.4999999999999996,2.5000000000000004,-68.19859051364821
25,[ 145 2136],[ 122 2158],[ 150 2131],1.0,1.0,1.0,-44.99999999999999
26,[259 736],[278 720],[241 736],2.5,inf,5.94992843010395,-80.45950554627461
27,[  67 1144],[  82 1151],[  47 1144],-2.4999999999999996,-2.5000000000000004,-2.4999999999999996,68.19859051364818
28,[ 247 2286],[ 275 2259],[ 240 2280],2.5,inf,13.047511554864489,-85.61724968540082
29,[  30 1103],[  16 1090],[  51 1109],-2.5,-2.5,-2.5,68.19859051364821
30,[  85 1310],[  71 1324],[  99 1298],1.3461538461538463,1.3461538461538463,1.3461499999999997,-53.39284682374126
31,[ 180 1449],[ 178 1451],[ 210 1430],1.5,1.3461538461538463,1.4886498437949753,-56.10878231890821
32,[  69 1190],[  84 1180],[  51 1197],2.4999999999999996,2.5,2.5000000000000004,-68.19859051364821
33,[ 199 1690],[ 219 1711],[ 191 1686],-1.3461538461538463,-1.3461538461538463,-1.34615,53.39284682374126
34,[237 870],[253 884],[222 862],-1.3461538461538463,-2.4999999999999996,-1.9873157216882713,63.28885678641171
35,[  57 2035],[  39 2053],[  70 2029],1.5,1.7857142857142856,1.6828594169104283,-59.280087825400074
36,[ 185 1450],[ 180 1454],[ 213 1435],1.5,1.785714285714286,1.5479313078448529,-57.13658998846395
37,[186 677],[182 681],[212 658],1.3461538461538463,1.3461538461538463,1.34615,-53.39284682374126
38,[216 696],[197 712],[228 689],2.4999999999999996,1.785714285714286,2.0419129352481007,-63.90730565651993
39,[201 937],[210 947],[180 924],-1.0,-1.3461538461538463,-1.1220642723389125,48.29211020068139
