Unnamed: 0,pixel,closest contour point,closest skeleton point,slope at nc,slope at ns,average slope,average angle
261,[142 200],[127 185],[148 208],-0.8,-0.7000000000000001,-0.732037724101704,36.20553503896615
460,[ 74 342],[ 74 343],[ 46 333],-2.4999999999999996,-2.5,-2.5,68.19859051364821
523,[ 38 294],[ 30 287],[ 57 303],-1.7857142857142858,-1.3461538461538467,-1.6380953074936522,58.59739183978093
1673,[ 85 455],[ 89 452],[ 62 467],1.7857142857142856,1.7857142857142856,1.78571,-60.751115041598325
2498,[ 58 314],[ 78 332],[ 53 312],-1.7857142857142856,-1.7857142857142856,-1.78571,60.75111504159832
736,[218 147],[204 134],[225 157],-0.8,-0.7000000000000001,-0.7389842211074801,36.463816335835794
1319,[215 620],[207 630],[226 605],0.7000000000000001,0.7000000000000001,0.7,-34.99202019855866
293,[ 18 364],[  8 355],[ 40 364],-2.5,-2.5000000000000004,-2.5000000000000004,68.19859051364821
525,[112 196],[112 196],,-0.7000000000000002,,-0.7000000000000002,34.99202019855867
551,[267  74],[267  74],,-1.176470588235294,,-1.176470588235294,49.63546342690263
1991,[205 580],[221 563],[199 586],0.6,0.7000000000000001,0.6733423069279851,-33.95405031289274
1528,[249 637],[234 652],[256 629],0.8,1.0,0.9332347503408942,-43.0220471052422
813,[156 565],[137 584],[158 560],0.6,0.7000000000000001,0.6833045181801711,-34.34497192538573
1598,[166 592],[159 598],[176 572],0.7000000000000001,0.7000000000000001,0.7,-34.99202019855866
899,[297  17],[293  15],[321  26],-2.5,inf,-2.9361866021585112,71.19229647498209
2349,[208 136],[205 133],[222 159],-0.8,-0.7000000000000001,-0.7863880344288602,38.18108685113666
432,[ 63 450],[ 80 435],[ 55 454],2.4999999999999996,1.7857142857142856,1.987786047357148,-63.29430036710233
732,[ 43 277],[ 38 273],[ 64 290],-1.3461538461538467,-1.3461538461538465,-1.34615,53.39284682374126
1080,[ 33 465],[ 27 469],[ 55 455],1.7857142857142858,1.7857142857142856,1.7857099999999997,-60.751115041598304
1825,[ 87 465],[ 94 460],[ 69 478],1.3461538461538465,1.3461538461538465,1.3461499999999995,-53.39284682374126
2125,[ 73 284],[ 93 304],[ 69 283],-1.5,-1.3461538461538465,-1.36572393228664,53.78794919209494
46,[ 76 302],[ 87 313],[ 62 295],-1.3461538461538465,-1.7857142857142856,-1.565253053126062,57.42653512478806
2167,[335  41],[348  52],[319  40],-2.5,-2.5,-2.5000000000000004,68.19859051364821
1187,[157 538],[167 528],[149 553],0.8,0.7000000000000001,0.7545884206703077,-37.03778157869355
1145,[308 759],[294 759],[321 736],inf,inf,100.0,-89.42706130231674
114,[ 43 432],[ 20 454],[ 46 432],1.7857142857142858,2.5,2.438472181506165,-67.70181679045744
413,[300 740],[293 747],[321 736],2.5,inf,3.6576971028973393,-74.70922115863863
650,[ 79 275],[ 99 295],[ 76 274],-1.3461538461538465,-1.3461538461538465,-1.34615,53.39284682374126
931,[ 41 328],[ 20 308],[ 46 330],-1.7857142857142858,-2.5,-2.3881328796397105,67.27912735723143
804,[172 582],[157 597],[176 572],0.6,0.7000000000000001,0.6663253912646954,-33.676528258125934
1478,[ 53 329],[ 73 347],[ 47 329],-2.4999999999999996,-2.5,-2.4999999999999996,68.19859051364818
2164,[ 12 331],[ 12 331],,-2.5,,-2.5,68.19859051364821
675,[ 17 340],[ 11 338],[ 42 347],-2.5,-2.5,-2.5,68.19859051364821
1565,[227 121],[224 119],[245 142],-0.8,-0.7000000000000001,-0.7884674706341,38.25462994333155
624,[ 79 537],[ 78 538],[100 515],1.0,1.0,1.0,-44.99999999999999
44,[139 556],[123 574],[142 549],0.7000000000000001,0.7000000000000001,0.6999999999999998,-34.992020198558656
1830,[181 196],[197 214],[178 189],-0.7000000000000001,-0.5,-0.5480506146704084,28.72497149049695
898,[137 534],[153 518],[132 541],0.8,0.7000000000000001,0.7275452970250098,-36.037586486049605
1683,[224 133],[216 125],[236 149],-1.0,-0.7000000000000001,-0.8916093713459244,41.72049521967987
1340,[295 718],[287 725],[315 713],2.5,2.5,2.5,-68.19859051364821
318,[174 539],[177 535],[159 560],0.7000000000000001,0.7000000000000001,0.7,-34.99202019855866
907,[229 574],[232 571],[214 596],0.7000000000000001,0.7000000000000001,0.7,-34.99202019855866
1514,[333  46],[346  58],[319  40],-1.7857142857142858,-2.5,-2.169543336008818,65.25377196064086
956,[ 89 535],[ 82 542],[104 519],0.8,1.0,0.8621999341356614,-40.76790971147658
1537,[314 751],[294 753],[321 736],2.5,inf,5.535675948969732,-79.76015595687866
1682,[110 545],[ 99 556],[119 532],0.8,0.7000000000000001,0.7504065309377892,-36.88480194162542
2159,[237 604],[253 586],[232 609],0.7000000000000001,0.8,0.7773030445925916,-37.858031929779656
2299,[245 106],[242 103],[264 126],-1.0,-1.0,-1.0,44.99999999999999
2481,[ 69 322],[ 79 330],[ 52 315],-1.7857142857142856,-2.5,-2.0789794672892223,64.31220212973317
1715,[299  33],[290  28],[319  35],-2.5,-2.5,-2.5,68.19859051364821
808,[324  71],[336  81],[310  63],-1.7857142857142858,-1.785714285714286,-1.7857099999999997,60.751115041598304
1830,[181 196],[197 214],[178 189],-0.7000000000000001,-0.5,-0.5480506146704084,28.72497149049695
1026,[196 152],[188 145],[209 168],-0.7000000000000002,-0.7000000000000001,-0.7,34.99202019855866
2229,[242 632],[229 647],[250 624],0.7000000000000001,0.7000000000000001,0.7,-34.99202019855866
587,[151 554],[173 532],[150 554],0.6,0.8,0.793771934152594,-38.44155973297579
250,[122 502],[127 497],[107 521],1.0,0.7000000000000001,0.9321796113696434,-42.989717230689074
1586,[ 73 349],[ 73 349],,-2.5000000000000004,,-2.5000000000000004,68.19859051364821
1964,[ 19 430],[ 13 432],[ 44 425],2.5,2.5,2.5,-68.19859051364821
1842,[355 737],[355 737],,2.5000000000000004,,2.5000000000000004,-68.19859051364821
2457,[ 32 365],[ 10 343],[ 40 365],-2.5,inf,-12.222718241315029,85.32277111665789
1296,[234 645],[230 648],[250 624],0.8,0.7000000000000001,0.7840768172880298,-38.09917182633919
2059,[109 247],[127 265],[107 241],-1.0,-0.7000000000000002,-0.759702414990124,37.22402464486108
2366,[159 596],[159 598],[176 572],0.7000000000000001,0.7000000000000001,0.7,-34.99202019855866
940,[ 55 458],[ 32 479],[ 56 457],1.7857142857142858,1.7857142857142856,1.78571,-60.751115041598325
2142,[283 138],[290 145],[267 123],-1.0,-1.0,-1.0,44.99999999999999
1402,[145 240],[150 246],[131 221],-0.7000000000000001,-0.7000000000000002,-0.7000000000000001,34.99202019855867
1855,[146 233],[154 243],[135 218],-0.7000000000000001,-0.7000000000000002,-0.7,34.99202019855866
2132,[103 475],[104 473],[ 80 493],1.0,1.3461538461538465,1.0246170481007102,-45.69661739810644
1973,[324  55],[341  71],[315  52],-1.7857142857142858,-2.5,-2.29360575394415,66.44305248088804
1608,[ 19 440],[ 16 442],[ 46 432],2.5,2.5,2.5,-68.19859051364821
106,[155 584],[148 591],[167 566],0.7000000000000001,0.7000000000000001,0.7,-34.99202019855866
1407,[ 47 362],[ 69 368],[ 41 362],-2.4999999999999996,-2.5,-2.5,68.19859051364821
2392,[ 58 421],[ 72 411],[ 45 426],2.4999999999999996,2.5,2.5,-68.19859051364821
624,[ 79 537],[ 78 538],[100 515],1.0,1.0,1.0,-44.99999999999999
450,[196 160],[185 147],[205 171],-0.7000000000000002,-0.7000000000000001,-0.7,34.99202019855866
1173,[331 746],[352 725],[321 736],2.5,inf,7.75,-82.64762064010762
1858,[213 623],[207 630],[226 605],0.7000000000000001,0.7000000000000001,0.7,-34.99202019855866
673,[ 21 455],[ 20 455],[ 51 446],1.7857142857142858,2.5,1.8078099281721929,-61.05058380231882
2146,[264 630],[283 611],[261 633],0.7000000000000001,1.0,0.959090909090909,-43.80374226276153
802,[ 61 300],[ 83 321],[ 60 299],-1.7857142857142856,-1.7857142857142856,-1.78571,60.75111504159832
