Unnamed: 0,pixel,closest contour point,closest skeleton point,slope at nc,slope at ns,average slope,average angle
1663,[459 589],[477 570],[458 596],0.3,0.3,0.3,-16.69924423399362
880,[269 586],[262 600],[269 569],0.3,0.0,0.1561903000740342,-8.87732008571862
1691,[ 571 2326],[ 564 2326],[ 593 2329],-2.5,-2.5,-2.5,68.19859051364821
139,[146 223],[166 245],[144 221],-0.5,-0.5,-0.5,26.56505117707799
1595,[  48 3492],[  68 3487],[  39 3492],2.4999999999999996,inf,8.226535591135638,-83.06925157047
404,[ 507 3703],[ 518 3692],[ 499 3717],0.5,0.5,0.5,-26.56505117707799
837,[ 334 3654],[ 338 3647],[ 331 3677],0.3,0.3,0.3,-16.69924423399362
835,[  65 1228],[  81 1212],[  57 1231],2.4999999999999996,1.3461538461538467,1.6624172244786186,-58.97167314987448
58,[ 250 2904],[ 236 2924],[ 253 2895],0.3,0.3,0.3,-16.69924423399362
242,[ 96 500],[115 481],[ 93 503],1.0,0.7000000000000001,0.7409090909090907,-36.53508316908163
2247,[ 127 2091],[ 112 2108],[ 131 2083],0.5,0.7000000000000001,0.643419046225721,-32.758000809187486
1555,[ 336 2481],[ 336 2480],[ 336 2511],0.0,0.0,0.0,0.0
1830,[  71 3356],[  61 3346],[  83 3369],-1.0,-1.0,-1.0,44.99999999999999
2319,[ 267 2493],[ 264 2486],[ 270 2516],-0.3,-0.3,-0.3,16.69924423399362
2114,[ 123 2585],[ 130 2593],[ 111 2568],-0.8,-0.7000000000000001,-0.7661878108054003,37.45889580499507
2280,[ 165 3621],[ 168 3618],[ 154 3645],0.3,0.5,0.3276904059545115,-18.143473570395948
1892,[ 410 2906],[ 428 2883],[ 410 2911],0.3,0.3,0.3,-16.69924423399362
2042,[177 235],[181 239],[168 211],-0.3,-0.3,-0.3,16.69924423399362
888,[ 621 2288],[ 624 2288],[ 592 2291],inf,2.5,26.795632895188746,-87.86274119924676
1494,[ 625 3078],[ 626 3078],[ 594 3085],inf,2.5,81.9512429103535,-89.30088996835428
490,[274 950],[260 935],[278 964],-0.3,-0.3,-0.2999999999999999,16.69924423399362
1576,[ 319 2874],[ 321 2870],[ 316 2900],0.3,0.3,0.3,-16.69924423399362
2209,[106 272],[113 280],[ 91 258],-1.0,-1.0,-1.0,44.99999999999999
1486,[ 386 2100],[ 386 2100],,0.0,,0.0,0.0
