,pixel,closest contour point,closest skeleton point,slope at nc,slope at ns,average slope,average angle
0,[309  75],[278  40],[313  93],-0.3,-0.3,-0.3,16.69924423399362
1,[209 676],[197 690],[228 639],0.5,0.7000000000000001,0.5614305006550446,-29.311182963446438
2,[143 127],[132 116],[169 162],-0.8,-0.7000000000000001,-0.7737031970815799,37.72923494995624
3,[309 640],[331 614],[302 665],0.30000000000000004,0.30000000000000004,0.3,-16.69924423399362
4,[1446  171],[1451  176],[1406  137],-1.3461538461538463,-1.7857142857142858,-1.398327725144967,54.429926895666846
5,[994 233],[1007  217],[985 271],0.3,0.30000000000000004,0.30000000000000004,-16.69924423399362
6,[110 361],[125 361],[ 70 361],-2.4999999999999996,-2.4999999999999996,-2.4999999999999996,68.19859051364818
7,[883 284],[870 298],[897 245],0.5,0.3,0.43688653590236565,-23.599869055157644
8,[891 273],[868 297],[900 246],0.30000000000000004,0.3,0.3,-16.69924423399362
9,[1418  696],[1385  729],[1434  691],2.4999999999999996,2.4999999999999996,2.5,-68.19859051364821
10,[104 380],[124 380],[ 69 373],inf,-2.4999999999999996,-6.961642074393687,81.82570539235395
11,[1416  681],[1381  713],[1429  675],2.4999999999999996,2.4999999999999996,2.5,-68.19859051364821
12,[187 100],[174  86],[206 135],-0.7000000000000002,-0.7000000000000001,-0.7,34.99202019855866
13,[707 209],[695 222],[723 170],0.5,0.3,0.44087584096848126,-23.791523468495473
14,[213 116],[180  82],[220 127],-0.5,-0.7000000000000001,-0.6568406479635763,33.29853607117249
15,[1300  223],[1268  190],[1307  235],-0.5,-0.7000000000000001,-0.6535834116296525,33.16796477617243
16,[1464  716],[1496  686],[1439  713],2.4999999999999996,inf,6.85509781424124,-81.70041426468815
17,[827 557],[863 594],[822 548],-0.5,-0.30000000000000004,-0.33325501237552146,18.430910013734643
18,[351 692],[318 731],[351 674],0.30000000000000004,0.0,0.07816100574278552,-4.469209517728105
19,[865 577],[875 589],[848 537],-0.5,-0.30000000000000004,-0.4471236539049311,24.090548013337582
20,[626 149],[595 180],[633 132],0.30000000000000004,0.3,0.30000000000000004,-16.69924423399362
21,[677 166],[645 200],[684 153],0.5,0.3,0.3480506146704084,-19.190483306157457
22,[1036  494],[1075  534],[1034  482],-0.30000000000000004,-0.30000000000000004,-0.29999999999999993,16.69924423399362
23,[636 591],[618 573],[647 624],-0.5,-0.30000000000000004,-0.4154865056619513,22.562225271115533
24,[852 498],[835 478],[867 528],-0.30000000000000004,-0.30000000000000004,-0.3,16.69924423399362
25,[165 112],[154  99],[191 145],-0.7000000000000002,-0.7000000000000001,-0.7,34.99202019855866
26,[541  62],[558  45],[531  99],0.3,0.30000000000000004,0.3,-16.69924423399362
27,[1348  574],[1315  607],[1357  565],1.0,1.0,1.0,-44.99999999999999
28,[387 108],[387 141],[387  85],-0.3,-0.30000000000000004,-0.3,16.69924423399362
29,[745 129],[754 119],[722 169],0.5,0.5,0.5,-26.56505117707799
30,[1011  505],[1043  538],[1005  487],-0.30000000000000004,-0.30000000000000004,-0.3,16.69924423399362
31,[1442  622],[1461  602],[1414  639],1.3461538461538463,1.3461538461538463,1.34615,-53.39284682374126
32,[1459   98],[1481  120],[1431   84],-1.7857142857142858,-2.4999999999999996,-2.141754953629573,64.9718083603967
33,[286 121],[315 152],[279 103],-0.3,-0.30000000000000004,-0.3,16.69924423399362
34,[120 477],[139 461],[ 90 491],2.4999999999999996,2.4999999999999996,2.5,-68.19859051364821
35,[153 523],[166 510],[120 546],1.5,1.3461538461538463,1.4517396519381611,-55.43981243368951
36,[346 649],[373 620],[346 673],0.30000000000000004,0.2,0.23772207367159254,-13.372262342375452
37,[1308  215],[1278  184],[1317  228],-0.7000000000000002,-0.7000000000000001,-0.7,34.99202019855866
38,[991 530],[1002  546],[985 491],-0.30000000000000004,-0.30000000000000004,-0.3,16.69924423399362
39,[350 709],[330 733],[357 675],0.30000000000000004,0.30000000000000004,0.3,-16.69924423399362
40,[831 591],[842 603],[815 551],-0.5,-0.30000000000000004,-0.4451523501940692,23.996349774988467
41,[930 290],[910 312],[939 259],0.30000000000000004,0.30000000000000004,0.29999999999999993,-16.69924423399362
42,[161 103],[155  98],[195 142],-0.8,-0.7000000000000001,-0.7868845475882928,38.19866046584798
